candle_date_time_utc	market	candle_date_time_kst	opening_price	high_price	low_price	trade_price	timestamp	candle_acc_trade_price	candle_acc_trade_volume	empty_copy_from_utc	created_at
2025-09-25T06:02:04	KRW-ELF	2025-09-25T15:02:04	264	264	264	264	1758780124119	16847.8768128	63.8177152		2025-09-25 07:52:34
2025-09-25T06:02:03	KRW-ELF						1758780123000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:02:02	KRW-ELF						1758780122000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:02:01	KRW-ELF						1758780121000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:02:00	KRW-ELF						1758780120000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:59	KRW-ELF						1758780119000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:58	KRW-ELF						1758780118000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:57	KRW-ELF						1758780117000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:56	KRW-ELF						1758780116000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:55	KRW-ELF						1758780115000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:54	KRW-ELF						1758780114000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:53	KRW-ELF						1758780113000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:52	KRW-ELF						1758780112000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:51	KRW-ELF						1758780111000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:50	KRW-ELF						1758780110000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:49	KRW-ELF						1758780109000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:48	KRW-ELF						1758780108000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:47	KRW-ELF						1758780107000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:46	KRW-ELF						1758780106000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:45	KRW-ELF						1758780105000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:44	KRW-ELF						1758780104000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:43	KRW-ELF						1758780103000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:42	KRW-ELF						1758780102000			2025-09-25T06:01:41	2025-09-25 07:52:34
2025-09-25T06:01:41	KRW-ELF	2025-09-25T15:01:41	265	265	265	265	1758780101683	10037.87878555	37.87878787		2025-09-25 07:52:09
2025-09-25T06:01:40	KRW-ELF						1758780100000			2025-09-25T06:01:38	2025-09-25 07:52:09
2025-09-25T06:01:39	KRW-ELF						1758780099000			2025-09-25T06:01:38	2025-09-25 07:52:09
2025-09-25T06:01:38	KRW-ELF	2025-09-25T15:01:38	264	264	264	264	1758780098387	1987581.68636016	7528.71850894		2025-09-25 07:52:09
2025-09-25T06:01:37	KRW-ELF						1758780097000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:36	KRW-ELF						1758780096000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:35	KRW-ELF						1758780095000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:34	KRW-ELF						1758780094000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:33	KRW-ELF						1758780093000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:32	KRW-ELF						1758780092000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:31	KRW-ELF						1758780091000			2025-09-25T06:01:30	2025-09-25 07:52:09
2025-09-25T06:01:30	KRW-ELF	2025-09-25T15:01:30	264	264	264	264	1758780090253	10038.02281152	38.02281368		2025-09-25 07:52:09
2025-09-25T06:01:29	KRW-ELF						1758780089000			2025-09-25T06:01:27	2025-09-25 07:52:09
2025-09-25T06:01:28	KRW-ELF						1758780088000			2025-09-25T06:01:27	2025-09-25 07:52:09
2025-09-25T06:01:27	KRW-ELF	2025-09-25T15:01:27	263	263	263	263	1758780087482	5260	20		2025-09-25 07:52:09
2025-09-25T06:01:26	KRW-ELF						1758780086000			2025-09-25T06:01:24	2025-09-25 07:52:09
2025-09-25T06:01:25	KRW-ELF						1758780085000			2025-09-25T06:01:24	2025-09-25 07:52:09
2025-09-25T06:01:24	KRW-ELF	2025-09-25T15:01:24	264	264	264	264	1758780084607	5280	20		2025-09-25 07:52:09
